paper_id,num_disagree,E_EXP_Q,E_EXP_X,E_STAT_Q,E_STAT_X,E_SURVEY_Q,E_SURVEY_X,E_CASE_Q,E_CASE_X,E_ETHNO_Q,E_ETHNO_X,E_TEXT_Q,E_TEXT_X,E_MODEL_Q,E_MODEL_X,E_POLICYEVAL_Q,E_POLICYEVAL_X,E_MIXED_Q,E_MIXED_X,E_NORM_Q,E_NORM_X
3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
8,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
12,2,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
15,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
17,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
20,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
33,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
35,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
38,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
49,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
59,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
61,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
62,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
70,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
71,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
73,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
78,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
79,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
80,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
83,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
84,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
85,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
86,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
91,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
92,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
93,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
94,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
95,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
96,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
97,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
98,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
99,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
